LOW;ДЕЛАТЬ111!;06.12.2022;18:30;16.12.2022;18:30;РРР1;
MEDIUM;ДЕЛАТЬ!;07.12.2022;18:30;12.12.2022;18:30;РРР2;
LOW;ДЕЛАТЬ222!;06.11.2022;18:30;16.12.2022;18:30;РРР3;
ALARM;ДЕЛАТЬ!;06.12.2022;18:30;11.12.2022;18:30;РРР4;
ALARM;ДЕЛАТЬ333!;06.12.2021;18:30;16.12.2021;18:30;РРР;
LOW;ДЕЛАТЬ444!;06.12.2022;18:30;16.12.2022;18:30;РРР;
MEDIUM;ДЕЛАТЬ555!;06.02.2022;18:30;16.12.2022;18:30;РРР;
LOW;ДЕЛАТЬ66!;01.01.2021;18:30;01.12.2021;18:30;РРР;
LOW;ДЕЛАТЬ5550!;06.12.2022;18:30;10.12.2022;18:30;РРР;
LOW;ДЕЛАТЬ123!;02.12.2022;18:30;16.12.2022;18:30;РРР;
